Insee,Code_postal,Ville,Sécurité,Éducation,Sport / Loisir,Environnement,Vie pratique,pouce_positif,pouce_negatif,commentaire,date,auteur
25002,25440,Abbans-Dessus,2,4,2,3,3,0,0,La Ville et les  hameaux qui pourrait être agréable à vivre.  Mais depuis 5ans la mairie a laissé s'installer des personnes non respectueuses du savoir vivre avec leurs tripote d'adolescents de futur délinquants entre autres vitesse excessive rodéos a motos et quad dans le hameau de mainbray par des adolescents que leurs parents ne surveilles pas aucune présence ni de la police municipale ni de la gendarmerie quand les habitants seront biens excédés le règlement du problème sera vite résolu. ,27/02/2022,Hitoluc4
44001,44170,Abbaretz,4,5,3,3,5,1,0,"Abbaretz c'est une commune qui est très propre il y a peut-être un peu de déchets, la vie pratique je trouve que c'est bien voilà ",22/11/2020,Zera
44001,44170,Abbaretz,5,5,5,5,5,0,0,"Village au top, un joli lac pour se promener et quelques commerces pour l'essentiel du quotidien.",01/10/2021,ptitepaolina
44001,44170,Abbaretz,5,3,3,5,3,0,0,Abbaretz est une ville de taille moyenne située dans le pays de Châteaubriant. La ville dispose d'un grand patrimoine comme le châtaigner des Nonneries ou la mine. Elle est relié par le tram train reliant Châteaubriant à Nantes mais ne dispose pas de grand axe routier ,18/03/2020,Thomas
44001,44170,Abbaretz,4,5,4,4,4,1,0,Une ville qui fait un maximun pour les citoyens,16/06/2017,Lara
34001,34290,Abeilhan,5,4,3,5,1,0,0,Excellent environnement .Gentillesse des administrés .Excellente sécurité . Grande propreté !,24/11/2021,Yandé
34001,34290,Abeilhan,4,1,4,3,3,0,0,"Pas assez mise en valeur , besoin d être réhabilité,  pas de fibre optique. Positif : accès campagne direct , proche de la ville",10/11/2021,Lu
34001,34290,Abeilhan,3,4,4,3,4,0,0,Ville très agréable et centre ville animé. Magasins très nombreses dans les zones industrielles au alentour ! Hôpital très bon,12/12/2020,Ericdanielle
37001,37160,Abilly,5,5,4,5,4,0,0,Petite ville tranquille juste un peu loin des grand supermarché et de la grande ville commerce et médecin a 5 kilomètre,26/03/2021,laverdure
24001,24300,Abjat-sur-Bandiat,5,5,5,5,5,0,0,"Magnifique coin du Périgord vert avec ses forêts , ses étangs , sa qualité de vie. Le paradis quoi !!",01/03/2021,Lutin2424
28001,28570,Abondant,5,5,3,5,3,0,0,"Positif : village tranquille, pas très loin de la région parisienne, il y fait bon vivre , les habitants sont sympathiques",15/02/2021,wiloreen
28001,28570,Abondant,2,3,3,3,3,0,0,CADRE DE VIE SYMPATHIQUE MAIS MANQUE DE SÉCURITÉ QUI PERMETTRAIT AU GENS DE MIEUX SE SENTIR ET FAIRE PLUS D ACTIVITES,15/06/2017,Xavier28
57003,57560,Abreschviller,5,5,4,5,4,0,0,Petit village de 1500 habitants … au pied du Donon …,27/07/2021,Fleurdelys
3001,03200,Abrest,4,3,3,4,3,0,0,Suffisamment proche de la ville tout en ayant un pied dans la campagne. Nous avons les avantages de la campagne sans les inconvénients et les avantages de la ville sans les inconvénients. L'endroit idéal pour nos petits protégés de la SPA.,11/12/2019,Justine
5001,05460,Abriès-Ristolas,4,4,4,4,2,0,0,"Abries est un petit paradis pour la randonnée en été, dommage que les commerçants profitent de la saison estival pour faire flamber les prix sur les produits de 1ère nécessité et les produits alimentaires : 30% de plus en moyenne",26/07/2021,Mickyk
33001,33230,Abzac,4,4,4,4,3,0,0,Petite mais diversifiée dans ses propositions car elle comporte des commerces de proximité mais aussi différentes associations permettant de faire de multiples activités,09/03/2019,Talu
57006,57410,Achen,5,5,3,5,3,0,0,Manque d'infrastructures sportives et de place de jeux pour les enfants.,13/02/2021,fanny
18001,18250,Achères,4,3,3,5,3,0,0,Un p.tit village sympa au bord de la forêt..,25/12/2020,Coco
35001,35690,Acigné,3,3,4,3,4,0,0,"Il y a toutes sortes de commerces et en période de fêtes le bourg est très bien décoré et la musique du centre commercial est sympathique. La commune propose de multiples espaces verts et jeux pour enfants partout dans la commune. Une petite pataugeoire pour les enfants l'été serait très sympathique et originale, les espaces verts et la démographie de la commune s'y prêtant",04/03/2019,Mocouk
