index;code;nom;dep;url
0;01001;abergement-clemenciat;01;
1;01002;abergement-de-varey;01;
2;01004;amberieu-en-bugey;01;
3;01005;amberieux-en-dombes;01;
4;01006;ambleon;01;
5;01007;ambronay;01;
6;01008;ambutrix;01;
7;01009;andert-et-condon;01;
8;01010;anglefort;01;
9;01011;apremont;01;
10;01012;aranc;01;
11;01013;arandas;01;
12;01014;arbent;01;
13;01015;arboys-en-bugey;01;
14;01016;arbigny;01;
15;01017;argis;01;
16;01019;armix;01;
17;01021;ars-sur-formans;01;
18;01022;artemare;01;
19;01023;asnieres-sur-saone;01;
20;01024;attignat;01;
21;01025;bage-dommartin;01;
22;01026;bage-le-chatel;01;
23;01027;balan;01;
24;01028;baneins;01;
25;01029;beaupont;01;
26;01030;beauregard;01;
27;01031;bellignat;01;
28;01032;beligneux;01;
29;01033;bellegarde-sur-valserine;01;
30;01034;belley;01;
31;01035;belleydoux;01;
32;01036;belmont-luthezieu;01;
33;01037;benonces;01;
34;01038;beny;01;
35;01039;beon;01;
36;01040;bereziat;01;
37;01041;bettant;01;
38;01042;bey;01;
39;01043;beynost;01;
40;01044;billiat;01;
41;01045;birieux;01;
42;01046;biziat;01;
43;01047;blyes;01;
44;01049;boisse;01;
45;01050;boissey;01;
46;01051;bolozon;01;
47;01052;bouligneux;01;
48;01053;bourg-en-bresse;01;
49;01054;bourg-saint-christophe;01;
50;01056;boyeux-saint-jerome;01;
51;01057;boz;01;
52;01058;bregnier-cordon;01;
53;01059;brenaz;01;
54;01060;brenod;01;
55;01061;brens;01;
56;01062;bressolles;01;
57;01063;brion;01;
58;01064;briord;01;
59;01065;buellas;01;
60;01066;burbanche;01;
61;01067;ceignes;01;
62;01068;cerdon;01;
63;01069;certines;01;
64;01071;cessy;01;
65;01072;ceyzeriat;01;
66;01073;ceyzerieu;01;
67;01074;chalamont;01;
68;01075;chaleins;01;
69;01076;chaley;01;
70;01077;challes-la-montagne;01;
71;01078;challex;01;
72;01079;champagne-en-valromey;01;
73;01080;champdor-corcelles;01;
74;01081;champfromier;01;
75;01082;chanay;01;
76;01083;chaneins;01;
77;01084;chanoz-chatenay;01;
78;01085;chapelle-du-chatelard;01;
79;01087;charix;01;
80;01088;charnoz-sur-ain;01;
81;01089;chateau-gaillard;01;
82;01090;chatenay;01;
83;01091;chatillon-en-michaille;01;
84;01092;chatillon-la-palud;01;
85;01093;chatillon-sur-chalaronne;01;
86;01094;chavannes-sur-reyssouze;01;
87;01095;nivigne-et-suran;01;
88;01096;chaveyriat;01;
89;01097;chavornay;01;
90;01098;chazey-bons;01;
91;01099;chazey-sur-ain;01;
92;01100;cheignieu-la-balme;01;
93;01101;chevillard;01;
94;01102;chevroux;01;
95;01103;chevry;01;
96;01104;chezery-forens;01;
97;01105;civrieux;01;
98;01106;cize;01;
99;01107;cleyzieu;01;
100;01108;coligny;01;
101;01109;collonges;01;
102;01110;colomieu;01;
103;01111;conand;01;
104;01112;condamine;01;
105;01113;condeissiat;01;
106;01114;confort;01;
107;01115;confrancon;01;
108;01116;contrevoz;01;
109;01117;conzieu;01;
110;01118;corbonod;01;
111;01121;corlier;01;
112;01122;cormaranche-en-bugey;01;
113;01123;cormoranche-sur-saone;01;
114;01124;cormoz;01;
115;01125;corveissiat;01;
116;01127;courmangoux;01;
117;01128;courtes;01;
118;01129;crans;01;
119;01130;cras-sur-reyssouze;01;
120;01133;cressin-rochefort;01;
121;01134;crottet;01;
122;01135;crozet;01;
123;01136;cruzilles-les-mepillat;01;
124;01138;culoz;01;
125;01139;curciat-dongalon;01;
126;01140;curtafond;01;
127;01141;cuzieu;01;
128;01142;dagneux;01;
129;01143;divonne-les-bains;01;
130;01144;dommartin;01;
131;01145;dompierre-sur-veyle;01;
132;01146;dompierre-sur-chalaronne;01;
133;01147;domsure;01;
134;01148;dortan;01;
